Quadrilateral Vertex Index, Triangle Face Index, Barycentric Coordinates (u v w)
30, 188, 0.7368332199787543 0.26315584105435463 1.0938966891052518e-05
31, 209, 0.054666238814241375 0.36474141247309216 0.5805923487126665
32, 186, 0.23922092739540013 0.0374345036262203 0.7233445689783796
33, 146, 0.03971390776705863 0.20385922083789257 0.7564268713950488
34, 161, 0.6297572080499685 0.019862177319438325 0.3503806146305932
35, 92, 0.04820499564285452 0.41457296494142165 0.5372220394157239
36, 55, 0.6295812259036646 0.0725031776327038 0.29791559646363164
37, 109, 0.4302019897376847 0.45269552971486543 0.11710248054744993
38, 118, 0.2001454365319819 0.257060593925968 0.5427939695420501
39, 82, 0.4663751499997343 0.4707575034536317 0.06286734654663394
40, 228, 0.2107953656948373 0.7362367377539405 0.05296789655122219
41, 226, 11.987558265088552 -1.481252559354039 -9.506305705734514
42, 128, 0.936850596076234 0.03178518752258069 0.03136421640118524
43, 116, 6.300288687728829 -1.4207325163428384 -3.8795561713859907
44, 148, 0.9103343207518343 0.005016661161245673 0.08464901808692003
45, 31, 0.3691158448131265 0.30941931318778193 0.3214648419990916
46, 16, 0.6782237367936983 0.2364104489188298 0.08536581428747197
47, 39, 2.417806002349858 0.7370955281039174 -2.1549015304537757
48, 79, 0.07371182881334781 0.9153559858714878 0.010932185315164376
49, 129, 0.839975404793337 0.10793853803715604 0.05208605716950693
50, 167, 0.23044901884553037 0.18854652529030744 0.5810044558641622
51, 225, 0.8865371672212199 0.11225566255722738 0.001207170221552673
52, 28, 0.08472885813752795 0.4098260729607266 0.5054450689017455
53, 37, 0.6162823890309416 0.1611878140201387 0.2225297969489197
54, 35, 0.5396668350234615 0.34470168299212567 0.11563148198441282
55, 27, 0.0977649793614388 0.12866506093969543 0.7735699596988658
56, 116, 0.07656173191014715 2.38957095444348e-05 0.9234143723803084
57, 124, 3.9754721008616265 2.576833500903442 -5.5523056017650685
58, 25, 0.33648970411986195 0.3737599587324145 0.2897503371477235
59, 13, 0.09137829651971696 0.3490441545905795 0.5595775488897035
60, 47, 0.11741830833878733 0.6477422353363685 0.23483945632484413
61, 68, 0.6580691397630787 0.12834468694615211 0.21358617329076923
62, 160, 0.4449346620627939 0.3085704765855323 0.2464948613516737
63, 191, 0.24970616186735528 0.3055666795651327 0.444727158567512
64, 120, 0.4490348936291954 0.1010321632016249 0.4499329431691797
65, 200, 0.4883240170762308 0.2786261554762882 0.23304982744748098
66, 166, 0.5838672139061083 0.2814869085027715 0.1346458775911201
67, 211, 0.0041888817823286795 0.47785774373555595 0.5179533744821153
68, 127, 0.18691322335211047 0.3138467983423418 0.49923997830554767
69, 113, 0.05285743087970585 0.28601699603313163 0.6611255730871626
70, 204, 0.3039666036668396 5.419325967379216e-06 0.696027977007193
71, 180, 0.6512009776576029 4.5608277204837915e-06 0.34879446151467663
72, 63, 0.4489773552902845 0.08019875435336188 0.47082389035635364
73, 110, 0.015541553332721225 0.37213619520578695 0.6123222514614919
74, 72, 6.237735854897064e-06 0.7210891988413949 0.2789045634227502
75, 65, 0.4657177463638241 0.46150724092028605 0.0727750127158898
76, 100, 0.31284614540159206 0.2059408396165522 0.48121301498185576
77, 12, 0.21796889928179736 0.3657148174299137 0.416316283288289
78, 3, 0.6903264505925167 0.24937356127514138 0.0602999881323419
79, 36, 0.12523089340409368 0.6336338517104885 0.24113525488541784
80, 136, 0.3683188664668192 0.32744701014222705 0.3042341233909537
81, 61, 0.40464424966913215 0.5603120064175939 0.03504374391327391
82, 1, 0.005333105482907108 0.02894040404493063 0.9657264904721623
83, 2, 4.734667926165059e-06 0.340753971891819 0.6592412934402548
84, 67, 0.06983138148393361 0.7726357940799874 0.157532824436079
85, 163, 0.488117155023704 0.2659641483637032 0.24591869661259283
86, 224, 0.012071532577377031 0.46478285803637853 0.5231456093862444
87, 158, 0.8201862462009121 4.3919449943818434e-05 0.1797698343491441
88, 144, 0.6634578429409761 0.11209602084690558 0.22444613621211823
89, 111, 4.416013019046609e-06 0.9999923694921342 3.2144948467390647e-06
90, 9, 0.6333094614262984 0.14043450475176464 0.22625603382193693
91, 59, 1.492064192606683 -1.5799781225843315 1.0879139299776486
92, 192, 0.6679184559997609 0.13224435356178546 0.19983719043845366
93, 171, 0.420475245944372 0.3523371523363169 0.22718760171931104
94, 75, 0.37917318251470267 0.44251943350966066 0.1783073839756366
95, 78, 0.22548936684559628 0.2485539138529213 0.5259567193014824
96, 223, 0.575793503916635 0.14424913922806543 0.27995735685529965
97, 214, 0.048291554422716265 0.7770347043259004 0.17467374125138335
98, 43, 4.062384647771089e-07 0.955088867645118 0.0449107261164172
99, 48, 0.898265369305952 0.029374510998733585 0.07236011969531438
100, 81, 0.1792006758544349 0.6322891089674667 0.1885102151780984
101, 217, 0.6600041439917388 0.02588936595635771 0.31410649005190344
102, 6, 0.12893675892325865 0.7155289165906372 0.15553432448610413
103, 111, -0.22462603277614823 -1.5333052442757231 2.7579312770518714
104, 204, 0.9448284389372514 0.010248271161302398 0.04492328990144608
105, 27, 1.397407167549154 0.17872945399179402 -0.5761366215409481
106, 0, 0.0007400678171421982 0.27595592057787244 0.7233040116049854
107, 14, 1.7875422658242268e-05 0.6933447316377495 0.3066373929395923
108, 178, 0.20074247360922703 0.25412858097853364 0.5451289454122393
109, 148, 0.33688696980361155 0.0011960758947015676 0.6619169543016868
110, 111, 1.8586016201460684 -1.7045037220369077 0.845902101890839
111, 97, 1.5777635147768199 -1.2423484293886469 0.6645849146118273
112, 34, 0.25131246628761694 -1.3275364715437314 2.0762240052561145
113, 34, 0.8488940276680892 -1.236861465518602 1.387967437850513
114, 9, -1.4585142999135559 0.567791872792614 1.890722427120942
115, 219, 7.509667553562153 2.5667203829701872 -9.07638793653234
116, 148, 3.3029219304037127e-06 3.629938087812076e-06 0.9999930671399818
117, 14, 1.7875422658242268e-05 0.6933447316377495 0.3066373929395923
118, 164, 0.7852645785057 0.21472057400798306 1.4847486317013078e-05
