Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[-15.4107  18.158  773.011 ] , [ -15.0137 18.0194 772.273987 ] [ -14.9357 17.226999 772.754028 ] [ -15.634 18.454599 773.276978 ]
[ 10.7738  19.6106 771.809 ] , [ 11.4683 19.748199 772.791016 ] [ 11.0834 20.896601 772.223022 ] [ 10.5418 19.199301 771.61499 ]
[ 19.7037  22.1498 772.16  ] , [ 19.3442 21.2808 772.411011 ] [ 19.8218 23.062401 770.690979 ] [ 19.684999 22.647499 772.328979 ]
[-11.5998  30.6428 775.148 ] , [ -10.8864 30.5208 774.255981 ] [ -12.2393 31.243999 775.745972 ] [ -11.1502 29.4013 775.286011 ]
[ -8.90398  28.0388  773.103  ] , [ -8.96446 26.0574 774.153015 ] [ -7.44218 28.6015 771.099976 ] [ -9.26119 28.3689 773.327026 ]
[-10.8397  33.7277 773.324 ] , [ -10.581 33.977699 772.950012 ] [ -11.7935 33.0014 774.663025 ] [ -10.9206 31.663099 773.888 ]
[-16.6148  47.1869 770.495 ] , [ -17.8634 48.574001 771.11499 ] [ -17.9028 47.195499 772.247986 ] [ -16.2274 46.945499 770.250977 ]
[-31.2796  50.2926 773.332 ] , [ -31.8528 50.627899 773.718018 ] [ -31.2463 50.917801 772.33197 ] [ -31.3316 49.962898 772.890015 ]
[ 25.8733  54.7816 773.167 ] , [ 24.8888 53.055099 772.406982 ] [ 26.9522 54.535599 773.267029 ] [ 25.5734 55.032299 772.031006 ]
[ 36.5683 -53.7969 771.221 ] , [ 38.333199 -53.699699 771.312988 ] [ 34.398399 -53.5037 771.440979 ] [ 36.674702 -54.267502 770.411987 ]
[-2.69353e-01 -5.22785e+01  7.72791e+02] , [ -0.956262 -51.8946 773.213013 ] [ 0.018256 -53.0406 771.526978 ] [ 1.96125 -51.768299 773.620972 ]
[ 45.4202 -46.8638 771.59  ] , [ 45.084301 -46.569199 772.348022 ] [ 45.4132 -47.280602 772.034973 ] [ 45.809799 -46.341301 770.849976 ]
[-27.6156 -40.5385 770.604 ] , [ -27.309099 -40.191299 772.142029 ] [ -28.5814 -39.941101 770.481018 ] [ -27.995701 -40.638401 771.546021 ]
[ 43.1778 -38.6566 771.295 ] , [ 42.665798 -38.189201 770.78302 ] [ 43.022301 -37.644199 772.117981 ] [ 43.818802 -39.118198 771.541992 ]
[ -7.86673  11.9503  771.666  ] , [ -7.0652 12.1675 770.853027 ] [ -7.97948 12.6066 772.708008 ] [ -8.45754 11.3162 773.445984 ]
[ 11.517     8.38173 771.196  ] , [ 11.1698 8.83908 769.98999 ] [ 12.9829 9.71137 770.432007 ] [ 11.111 9.56081 771.341003 ]
[ 10.236   10.7063 772.59  ] , [ 11.3853 11.3884 773.138 ] [ 10.4443 12.9598 772.440979 ] [ 10.5637 10.6848 772.075989 ]
[-14.1854  15.2848 770.693 ] , [ -14.077 16.0331 770.203979 ] [ -14.4782 14.8732 770.351013 ] [ -14.7116 16.161699 770.460022 ]
[ 20.986   25.5252 772.16  ] , [ 20.9153 25.226801 772.369995 ] [ 20.052 25.602301 771.018005 ] [ 22.1194 27.6516 771.947021 ]
[ 24.9584  27.714  774.736 ] , [ 25.198999 27.335501 775.419983 ] [ 24.9072 27.097 774.903015 ] [ 24.418501 28.448 773.429016 ]
[ 23.1973  28.5909 771.411 ] , [ 23.2696 28.6768 771.406982 ] [ 22.1194 27.6516 771.947021 ] [ 22.7491 29.168699 770.38501 ]
[-21.3145  37.6546 771.389 ] , [ -20.755501 37.083199 769.903992 ] [ -21.434601 37.7248 771.820984 ] [ -21.005501 38.767101 770.533997 ]
[-13.7547  42.0568 770.727 ] , [ -13.7155 40.950802 772.218018 ] [ -12.7279 42.1161 768.916016 ] [ -14.0043 42.265701 771.291016 ]
[ 18.2731  44.1834 772.541 ] , [ 18.786501 44.5527 772.940979 ] [ 17.1332 44.573299 770.869019 ] [ 17.361601 43.1693 772.765991 ]
[ 15.171   42.9632 770.355 ] , [ 14.8036 42.2244 771.008972 ] [ 16.4403 42.545799 772.382019 ] [ 15.1127 43.6856 769.651978 ]
[ 17.294   40.3929 775.093 ] , [ 18.4312 40.504398 775.963013 ] [ 16.1609 41.1036 773.966003 ] [ 17.921101 40.0149 775.379028 ]
[ 18.9981  47.7903 770.127 ] , [ 19.692101 48.409 770.223022 ] [ 17.816999 48.258801 768.392029 ] [ 17.7861 46.057701 770.281982 ]
[ 34.013   52.1402 770.414 ] , [ 33.147301 52.9282 769.046021 ] [ 34.287899 52.8139 771.815979 ] [ 32.956402 51.772701 770.828003 ]
[-29.7509  58.2795 771.841 ] , [ -28.7138 57.868599 771.328003 ] [ -30.191601 59.425499 770.508972 ] [ -29.8888 58.007 772.075012 ]
[-32.457   58.3911 772.064 ] , [ -31.1807 58.815601 771.84198 ] [ -32.884102 59.029701 772.096008 ] [ -32.7085 57.888599 773.09198 ]
[ 39.3644 -35.2834 770.491 ] , [ 39.392601 -34.370602 771.39801 ] [ 39.3368 -35.713699 770.857971 ] [ 38.3881 -34.6194 770.369019 ]
[ 34.7281 -32.3054 770.69  ] , [ 35.904202 -31.8727 770.825989 ] [ 34.757301 -33.030602 771.312988 ] [ 33.041901 -32.951302 771.645996 ]
[ 31.6159 -27.4848 770.689 ] , [ 33.006401 -27.2684 770.10498 ] [ 31.0879 -27.482 771.406006 ] [ 32.709202 -28.094999 769.822998 ]
[ 18.028   -6.2282 771.962 ] , [ 17.737301 -5.86312 772.539001 ] [ 18.6411 -6.32724 771.75 ] [ 17.4363 -6.47448 771.065979 ]
[ -1.31316  10.8012  772.109  ] , [ -1.75672 10.8384 771.974976 ] [ 0.046343 10.6139 772.570984 ] [ 0.132928 11.8184 770.973999 ]
[ -7.62986  17.3542  772.193  ] , [ -8.28987 16.3536 773.992004 ] [ -7.431 17.576099 771.716003 ] [ -8.51392 17.679199 774.249023 ]
[-15.1262  21.1937 771.012 ] , [ -14.7228 20.256399 770.202026 ] [ -15.4985 21.332199 771.46698 ] [ -14.7442 20.928101 770.098999 ]
[ 10.2559  23.9187 771.359 ] , [ 10.2308 24.7155 771.732971 ] [ 9.76136 23.4021 770.666992 ] [ 10.7374 23.426001 772.002991 ]
[  8.87203  22.3588  768.585  ] , [ 8.44878 22.959101 768.500977 ] [ 8.00529 21.7162 767.567993 ] [ 8.85726 21.4842 769.106018 ]
[ 24.7209  32.3594 771.321 ] , [ 23.49 33.185001 770.546021 ] [ 25.061899 33.074501 771.406982 ] [ 23.85 31.8943 771.81897 ]
[ 10.1652  32.249  768.871 ] , [ 9.81512 31.4904 768.838013 ] [ 11.1946 31.2131 770.564026 ] [ 10.1724 32.737099 768.89502 ]
[  9.76207  28.4147  770.59   ] , [ 9.2453 28.3519 770.226013 ] [ 10.7766 28.753 771.609009 ] [ 8.99482 28.785601 769.45697 ]
[ 25.7657  35.8376 771.387 ] , [ 25.541401 36.143299 771.437988 ] [ 25.090401 35.166698 771.630981 ] [ 25.312799 35.453999 770.013977 ]
[ 27.3414  39.3509 771.234 ] , [ 27.201599 39.5765 770.137024 ] [ 28.282301 39.659401 771.234009 ] [ 28.494101 39.229 771.557007 ]
[ 12.5663  41.5917 767.907 ] , [ 12.5128 42.029202 768.426025 ] [ 12.5124 42.580898 767.690002 ] [ 11.887 41.712601 768.372986 ]
[ 12.2094  37.6454 769.989 ] , [ 13.2037 36.7523 771.008972 ] [ 11.5949 38.9459 769.424011 ] [ 10.3916 36.431599 768.038025 ]
[-24.3146  42.0946 771.499 ] , [ -25.026199 42.575802 772.026001 ] [ -24.1098 43.193001 771.580994 ] [ -23.460899 41.598499 772.255005 ]
[ 30.1882  46.1717 771.125 ] , [ 30.180599 46.219601 770.807007 ] [ 30.1943 46.444099 771.97998 ] [ 29.136 45.1259 770.948975 ]
[-32.7894  53.2019 771.411 ] , [ -32.813999 53.863098 771.409973 ] [ -31.691 52.819801 771.291992 ] [ -32.745899 53.270802 772.48999 ]
[ 31.5703 -52.7927 772.501 ] , [ 33.362 -52.955502 772.249023 ] [ 30.1488 -52.690399 772.65802 ] [ 31.844999 -53.368999 771.700989 ]
[ 26.4242 -51.8941 773.747 ] , [ 27.485901 -51.694401 774.047974 ] [ 24.866301 -51.197498 774.752991 ] [ 24.2703 -52.756699 772.346008 ]
[ 22.8005 -53.0375 771.965 ] , [ 20.9093 -53.7537 770.872986 ] [ 23.0525 -53.866001 770.63501 ] [ 22.6141 -52.2435 773.185974 ]
[-28.0404 -52.1309 771.195 ] , [ -28.6945 -51.660301 771.03302 ] [ -27.626301 -53.201302 771.017029 ] [ -28.078899 -51.745499 772.578003 ]
[-24.3701 -53.0312 772.282 ] , [ -22.9499 -52.218498 773.505981 ] [ -25.1026 -51.791901 774.190002 ] [ -24.5592 -53.8573 771.080017 ]
[ 45.6023 -42.0046 771.691 ] , [ 45.518299 -42.906799 771.786011 ] [ 45.284698 -42.1007 771.070007 ] [ 45.2813 -42.096699 771.963989 ]
[-25.2986 -35.2677 768.876 ] , [ -26.334499 -34.8466 768.301025 ] [ -25.505301 -35.519501 768.63501 ] [ -25.4909 -34.843899 769.638 ]
[ -4.20473  10.4361  771.198  ] , [ -3.29784 10.8422 771.296021 ] [ -4.48799 10.4534 771.033997 ] [ -5.99868 8.55348 772.215027 ]
[-16.2264  26.6672 771.198 ] , [ -15.8941 26.971399 770.073975 ] [ -16.4527 26.5516 771.468994 ] [ -15.9954 27.5427 770.414001 ]
[ -8.55406  31.2112  770.876  ] , [ -8.05811 31.264299 770.164001 ] [ -9.87821 32.4799 772.364014 ] [ -9.4837 30.8165 772.411987 ]
[ -7.4922  34.7212 769.265 ] , [ -8.93969 34.512798 770.703979 ] [ -6.99739 34.0681 767.934021 ] [ -8.04736 35.684898 769.755981 ]
[-29.5171  49.6555 770.021 ] , [ -28.9198 50.119099 768.642029 ] [ -29.570499 49.444401 769.737976 ] [ -29.9872 50.092098 770.312988 ]
[ 32.0637  49.1841 770.788 ] , [ 31.3102 47.8606 771.515991 ] [ 31.840401 48.967899 770.749023 ] [ 32.4706 49.9911 770.414978 ]
[ 22.6299  53.0923 770.186 ] , [ 20.657499 52.044498 769.30603 ] [ 23.7274 52.664101 771.478027 ] [ 22.8074 53.371899 770.460022 ]
[ 41.5746 -54.6446 769.598 ] , [ 41.073002 -54.9869 769.195007 ] [ 42.0443 -54.872501 768.859985 ] [ 41.870098 -54.2001 769.869019 ]
[ 33.1119 -25.0767 769.981 ] , [ 33.709 -26.512899 769.593994 ] [ 33.618198 -24.7565 769.742981 ] [ 32.423801 -25.3062 770.729004 ]
[-28.1061 -18.4733 772.676 ] , [ -28.3778 -19.3375 773.429993 ] [ -28.231199 -16.926001 773.028015 ] [ -28.827999 -18.5898 772.369019 ]
[ 31.3078 -13.9289 772.474 ] , [ 30.5986 -14.3079 772.672974 ] [ 31.306 -13.6098 771.127991 ] [ 30.684601 -12.5057 772.505005 ]
[-21.6214 -10.0752 769.528 ] , [ -21.232599 -9.73398 770.26001 ] [ -21.8939 -9.79561 768.820984 ] [ -23.5765 -10.4407 769.393005 ]
[-25.0177 -13.0351 773.368 ] , [ -25.183701 -12.1933 772.481995 ] [ -25.8276 -13.5446 773.117981 ] [ -24.784401 -12.8678 774.434021 ]
[  5.92367  12.1726  769.004  ] , [ 5.63517 12.7647 767.640015 ] [ 6.56162 11.1751 769.223999 ] [ 6.56785 11.9571 768.320007 ]
[ 17.8011  15.4333 771.501 ] , [ 16.9387 15.8852 769.669983 ] [ 17.7416 16.6562 771.481995 ] [ 17.9531 15.1914 771.872986 ]
[  8.93854  18.0574  769.536  ] , [ 8.88522 19.315001 769.320984 ] [ 8.67146 17.158001 769.468018 ] [ 9.32181 18.139299 770.184998 ]
[ -5.69453  24.9777  771.201  ] , [ -5.90265 25.688 770.453003 ] [ -6.41861 24.5783 772.021973 ] [ -5.25795 24.8657 770.588989 ]
[-18.3747  32.7785 771.06  ] , [ -18.478399 30.8505 770.434998 ] [ -19.292101 32.326698 771.155029 ] [ -19.3002 32.444199 770.429993 ]
[ 29.179   42.9567 771.02  ] , [ 28.591801 43.094101 769.903015 ] [ 28.9874 43.692902 771.393005 ] [ 29.6455 42.678902 772.164978 ]
[ 33.6916  58.1753 767.194 ] , [ 33.1675 59.612301 766.484009 ] [ 33.361599 58.195099 767.877991 ] [ 33.6721 57.4133 767.138977 ]
[ 32.0689  61.0581 767.01  ] , [ 32.5327 60.886799 766.773987 ] [ 31.863199 61.175098 767.119019 ] [ 32.3895 59.784199 768.25 ]
[-27.0084  57.3281 770.276 ] , [ -26.264 57.114799 769.794006 ] [ -26.9498 57.903599 769.5 ] [ -27.295799 56.819199 771.260986 ]
[-31.7331  60.9513 770.525 ] , [ -32.281799 61.479599 769.195984 ] [ -32.455299 60.441299 770.554016 ] [ -30.980801 60.376099 769.773987 ]
[ 28.0324 -54.2214 770.914 ] , [ 28.896099 -54.519001 770.453003 ] [ 30.607599 -54.6633 770.356018 ] [ 27.6535 -54.069199 770.926025 ]
[ 44.3396 -51.6594 769.368 ] , [ 44.584599 -51.953098 769.861023 ] [ 44.881802 -51.973499 768.961975 ] [ 44.680302 -50.482399 770.276001 ]
[ 40.6473 -38.9881 768.936 ] , [ 40.3792 -39.0811 769.377014 ] [ 40.226299 -38.092999 769.435974 ] [ 42.108601 -38.830101 769.840027 ]
[ 36.6282 -35.9733 768.117 ] , [ 36.509499 -36.659901 766.885986 ] [ 35.8106 -36.257702 768.052979 ] [ 36.7743 -37.182499 768.614014 ]
[ 21.4042   -7.32945 770.367  ] , [ 21.804899 -6.33197 771.107971 ] [ 21.611 -6.90007 769.924011 ] [ 20.472099 -6.83963 770.208984 ]
[ 15.4144   -4.02865 770.594  ] , [ 15.7558 -5.08942 771.609009 ] [ 14.8836 -5.00516 770.940002 ] [ 14.9116 -4.18691 772.689026 ]
[-11.1017    2.84788 773.97   ] , [ -10.5466 3.48696 773.687012 ] [ -10.3966 5.08034 771.903992 ] [ -11.0956 1.83584 774.655029 ]
[  8.74162  13.5982  770.393  ] , [ 9.11227 14.1638 771.028992 ] [ 7.80186 13.9504 768.830994 ] [ 8.96362 13.1748 770.72699 ]
[-21.8618  41.1755 769.278 ] , [ -21.735201 41.245499 769.781006 ] [ -22.091999 41.5882 768.648987 ] [ -20.6695 40.670601 768.153015 ]
[ 33.4025  53.6899 766.99  ] , [ 34.005798 53.903702 767.908997 ] [ 32.648102 53.512001 766.927979 ] [ 33.038101 53.9729 766.125 ]
[-34.3977  55.6426 769.565 ] , [ -33.384399 54.420101 769.565002 ] [ -34.579102 55.688999 769.619995 ] [ -34.152199 55.711899 769.08197 ]
[-33.1983  59.9521 769.783 ] , [ -34.1908 61.859299 770.171021 ] [ -32.720798 59.976898 771.174011 ] [ -32.455299 60.441299 770.554016 ]
[-28.847  -44.6688 770.328 ] , [ -29.5168 -43.879002 770.218018 ] [ -28.8291 -45.433102 770.14502 ] [ -28.255301 -43.986698 770.867004 ]
[-28.4091 -32.1542 765.948 ] , [ -29.1528 -31.993401 766.049011 ] [ -29.599199 -31.5825 764.687012 ] [ -28.508101 -33.086399 766.146973 ]
[ 31.5413 -31.8674 765.906 ] , [ 31.4307 -32.8783 765.396973 ] [ 32.751301 -31.533899 765.481995 ] [ 31.753201 -32.765598 766.838013 ]
[-28.547  -23.7096 771.397 ] , [ -26.6285 -24.838301 771.892029 ] [ -26.3491 -23.2868 771.471008 ] [ -29.0446 -23.6022 770.583984 ]
[-30.1124 -25.7775 767.837 ] , [ -30.886999 -24.9345 768.689026 ] [ -31.306999 -26.4851 766.583008 ] [ -30.4799 -27.417 767.763 ]
[ 32.1859 -19.3793 770.924 ] , [ 32.457401 -19.322201 770.549011 ] [ 32.623299 -19.120399 771.36499 ] [ 31.8743 -20.197001 771.049011 ]
[ 21.0406    2.95307 769.332  ] , [ 20.6947 2.9092 769.710999 ] [ 21.042101 2.48659 769.414978 ] [ 22.308399 3.13979 768.515015 ]
[ 16.6918    3.31238 769.583  ] , [ 17.2764 2.32698 769.677002 ] [ 17.907101 3.66234 769.921021 ] [ 16.5674 3.44818 769.452026 ]
[ 1.79784e+01 -6.62527e-01  7.69885e+02] , [ 18.789801 0.901266 769.883972 ] [ 17.475599 0.475351 769.69397 ] [ 18.0357 -1.11411 769.538025 ]
[ -2.89747  12.9819  768.442  ] , [ -4.33722 12.3935 767.914001 ] [ -2.7536 12.8144 768.77002 ] [ -2.22716 13.6978 767.883972 ]
[1.25201e-01 1.33536e+01 7.69092e+02] , [ -0.450815 14.0427 768.184021 ] [ -0.854037 13.24 769.036987 ] [ 0.61543 13.0496 769.505005 ]
[  3.1777  13.0293 769.166 ] , [ 4.14008 13.686 767.385986 ] [ 2.34638 13.5071 768.58197 ] [ 2.85204 12.6511 769.877014 ]
[ -6.8411  14.7965 769.25  ] , [ -6.00598 14.1171 769.026978 ] [ -6.04405 15.3582 769.041992 ] [ -7.35877 14.9724 771.679016 ]
[-15.0564  24.353  768.814 ] , [ -15.3235 25.526199 768.10498 ] [ -14.8619 23.5751 769.205994 ] [ -15.1965 23.423599 769.89801 ]
[-10.8258  40.2254 768.646 ] , [ -10.6176 40.701801 767.442017 ] [ -11.7476 41.028599 768.461975 ] [ -9.77361 38.361 769.203003 ]
[-24.9568  45.8395 769.72  ] , [ -25.0931 45.834099 770.731995 ] [ -25.4652 46.652901 769.669006 ] [ -25.1075 45.654701 769.064026 ]
[-30.247   53.4184 768.386 ] , [ -30.1014 52.299801 767.786011 ] [ -30.982201 52.931198 767.963013 ] [ -30.349001 52.9785 767.302002 ]
[-30.3689  60.631  769.091 ] , [ -29.221901 60.1591 768.408997 ] [ -29.828899 60.955399 767.906982 ] [ -30.980801 60.376099 769.773987 ]
[-32.4562  63.6462 770.131 ] , [ -31.405899 61.402199 768.741028 ] [ -33.995499 62.857201 768.992981 ] [ -32.281799 61.479599 769.195984 ]
[ 19.202  -54.1107 770.157 ] , [ 20.9093 -53.7537 770.872986 ] [ 18.0371 -54.298199 769.866028 ] [ 19.1542 -54.688801 769.388 ]
[-29.6531 -42.2462 768.815 ] , [ -29.353001 -42.564098 770.572021 ] [ -30.711399 -41.693802 769.088013 ] [ -30.559999 -42.946899 769.374023 ]
[ 44.1676 -41.8311 769.359 ] , [ 44.5797 -41.540901 770.164001 ] [ 44.561901 -42.157501 769.257019 ] [ 44.179001 -41.652699 769.213013 ]
[-28.3177 -14.4212 769.853 ] , [ -27.802999 -13.1359 769.434021 ] [ -28.728201 -14.1202 769.038025 ] [ -28.9366 -15.3172 770.356018 ]
[ 31.3061 -11.1311 770.2   ] , [ 31.3416 -11.1364 769.997009 ] [ 30.303301 -10.7599 771.968018 ] [ 31.450001 -11.7438 770.20697 ]
[ 28.2301   -9.04227 772.971  ] , [ 28.9184 -9.01504 771.848022 ] [ 27.400801 -8.97845 774.590027 ] [ 29.009501 -10.402 773.659973 ]
[ 15.9973   -5.85237 769.744  ] , [ 15.7481 -6.79553 769.796997 ] [ 14.8944 -6.10345 769.695007 ] [ 15.5256 -6.0444 770.497009 ]
[ 13.805    -2.11103 773.707  ] , [ 13.8122 -1.7634 774.867004 ] [ 14.1584 -2.97541 773.258972 ] [ 13.3693 -0.803819 773.773987 ]
[ 12.5273    2.37414 770.748  ] , [ 12.2255 2.03237 772.281006 ] [ 12.7833 1.32406 770.257019 ] [ 12.4297 2.63532 769.817993 ]
[-14.2613  18.4257 768.537 ] , [ -14.7549 18.3116 769.166016 ] [ -14.1105 18.445101 768.046021 ] [ -13.8074 17.680099 768.978027 ]
[-16.9351  29.936  768.731 ] , [ -16.8636 29.625 767.629028 ] [ -16.878 29.148001 768.809021 ] [ -17.4921 29.775999 769.01001 ]
[ 25.5614  40.387  768.095 ] , [ 26.5714 40.722599 768.622009 ] [ 25.307301 39.818802 767.901978 ] [ 26.3941 41.227699 767.853027 ]
[-20.785   55.1022 766.83  ] , [ -22.112 56.7519 766.041016 ] [ -23.806601 57.005001 767.687012 ] [ -20.506901 54.775799 766.695007 ]
[-20.0094  51.9543 769.797 ] , [ -19.8312 52.391701 769.817017 ] [ -21.321501 52.432098 771.401978 ] [ -19.511999 52.019299 770.958984 ]
[ 24.4967 -55.2521 769.037 ] , [ 24.5469 -55.879799 768.348999 ] [ 25.181 -54.857498 769.705017 ] [ 23.993999 -55.235401 769.021973 ]
[ -3.77293 -53.3061  771.351  ] , [ -2.11181 -53.4702 770.903015 ] [ -4.46721 -53.107899 771.565002 ] [ -3.65878 -54.504002 769.41803 ]
[  1.41802 -54.263   769.746  ] , [ 1.62862 -54.573799 769.291016 ] [ 2.76278 -53.630798 770.638 ] [ 0.617422 -53.377701 771.004028 ]
[  4.95979 -53.2824  771.306  ] , [ 6.51313 -52.259499 772.812988 ] [ 4.0391 -52.747799 772.026001 ] [ 4.87463 -53.744499 770.629028 ]
[ 46.2293 -44.4681 769.907 ] , [ 45.8311 -44.539299 770.778015 ] [ 46.047901 -44.898499 769.374023 ] [ 45.398998 -43.414799 770.122009 ]
[ 38.3182 -39.3524 766.182 ] , [ 37.877701 -39.132702 766.151978 ] [ 39.096699 -41.226799 766.671997 ] [ 38.983101 -41.0289 765.799011 ]
[ 33.139  -16.6259 768.875 ] , [ 33.490501 -16.6099 769.984985 ] [ 33.616199 -16.725401 768.893982 ] [ 33.641102 -16.075199 768.916016 ]
[ 21.2814   -1.18943 767.258  ] , [ 21.914801 -0.365509 767.012024 ] [ 20.5809 -0.858125 768.580017 ] [ 21.4039 -2.85949 766.526001 ]
[ 14.9377   -1.10504 771.234  ] , [ 14.0683 -3.14147 771.81897 ] [ 13.6204 -1.27374 770.265991 ] [ 13.3885 -0.544605 770.968994 ]
[ 15.2516    8.72823 770.702  ] , [ 15.2403 10.6791 770.039978 ] [ 13.9711 10.2773 770.98999 ] [ 14.4557 9.91774 769.242981 ]
[  7.53113  16.6428  767.237  ] , [ 6.70352 16.483101 766.557007 ] [ 6.70363 15.7664 766.887024 ] [ 7.49524 16.7523 767.78302 ]
[ 18.1108  22.9863 768.686 ] , [ 17.136801 22.665199 768.677002 ] [ 17.6964 23.4769 768.127991 ] [ 18.0959 23.3731 769.049011 ]
[ 19.4729  26.3952 768.609 ] , [ 19.354099 26.2777 769.396973 ] [ 18.723499 26.828501 768.039978 ] [ 19.619499 26.7194 769.455994 ]
[  9.97305  40.5029  765.594  ] , [ 10.3665 41.262402 766.244995 ] [ 8.84595 40.610802 764.796997 ] [ 9.17783 40.268799 766.36499 ]
[  9.91235  36.4229  767.514  ] , [ 9.27023 36.045601 766.703003 ] [ 10.3916 36.431599 768.038025 ] [ 9.03022 37.907501 766.344971 ]
[ 13.8466 -53.1915 771.507 ] , [ 13.7687 -53.755199 770.567993 ] [ 16.218399 -53.233501 771.398987 ] [ 12.9552 -52.948898 771.838013 ]
[ -2.13015 -55.2716  768.27   ] , [ -1.42818 -55.6287 767.736023 ] [ -0.731045 -55.183201 768.489014 ] [ -2.38525 -55.228298 768.257019 ]
[ 45.7612 -48.2935 768.534 ] , [ 45.936298 -49.091702 769.14502 ] [ 45.909599 -47.3372 768.198975 ] [ 45.952202 -47.7659 768.791992 ]
[ 41.9143 -42.2711 767.186 ] , [ 42.110199 -43.516998 766.767029 ] [ 40.933102 -42.762199 766.643982 ] [ 42.060001 -42.105202 767.728027 ]
[-26.2647 -38.5147 767.066 ] , [ -25.7936 -38.4814 767.052979 ] [ -27.3811 -38.6679 766.546021 ] [ -26.4643 -38.260399 767.385986 ]
[ 34.3017 -28.6646 766.491 ] , [ 34.9813 -28.924101 766.075989 ] [ 34.9846 -28.392099 767.288025 ] [ 34.491001 -29.2444 767.197998 ]
[ 16.7475  19.6932 768.685 ] , [ 17.2327 18.921101 768.265015 ] [ 16.8431 19.201599 767.612 ] [ 16.5755 20.1735 768.875977 ]
[ -5.14019  22.9051  767.921  ] , [ -4.45035 23.405899 766.883972 ] [ -5.32561 23.4422 768.880981 ] [ -5.10257 22.383801 767.666992 ]
[ 21.2157  29.5712 768.249 ] , [ 20.881001 28.7568 769.247009 ] [ 19.9466 30.0282 766.784973 ] [ 21.729099 30.2435 768.192017 ]
[ 21.9952  33.5412 768.744 ] , [ 22.709299 34.411598 769.216003 ] [ 22.832899 33.159599 769.882019 ] [ 21.7883 33.553398 768.171997 ]
[ 23.8806  36.8589 768.318 ] , [ 23.7722 36.556499 768.518005 ] [ 23.915701 36.967098 767.999023 ] [ 24.451 37.812901 768.502991 ]
[-16.649   50.4775 768.073 ] , [ -15.8699 49.7649 768.018982 ] [ -15.5355 50.938801 767.492004 ] [ -17.5996 50.3806 769.859009 ]
[ 31.5727  50.3092 767.18  ] , [ 31.0564 50.641201 768.479004 ] [ 31.121 51.0439 767.625977 ] [ 31.5844 51.439701 767.034973 ]
[ 26.8516  58.2358 769.461 ] , [ 27.394501 58.589699 769.28302 ] [ 25.816401 58.535099 767.47699 ] [ 26.700399 57.977001 769.906982 ]
[ 27.7456  60.7251 765.932 ] , [ 26.795799 60.771702 764.810974 ] [ 26.2351 59.733799 765.838013 ] [ 28.694099 61.198502 766.020996 ]
[-23.8504 -55.4879 769.049 ] , [ -18.063801 -54.236301 770.255981 ] [ -24.5592 -53.8573 771.080017 ] [ -24.5837 -55.522202 768.551025 ]
[-19.7466 -54.6839 769.64  ] , [ -18.063801 -54.236301 770.255981 ] [ -24.5837 -55.522202 768.551025 ] [ -20.8999 -56.851501 766.416992 ]
[-20.6391 -52.6009 772.832 ] , [ -24.5592 -53.8573 771.080017 ] [ -19.3442 -52.689999 772.633972 ] [ -22.9499 -52.218498 773.505981 ]
[ 19.3952   -5.30371 767.34   ] , [ 19.151699 -5.54825 767.810974 ] [ 19.5693 -5.61085 767.671021 ] [ 20.5149 -4.34272 767.409973 ]
[ 18.5863   -3.60308 768.534  ] , [ 19.3097 -3.81562 768.453003 ] [ 17.971201 -3.02373 768.859009 ] [ 17.549999 -4.21799 768.38501 ]
[ 19.6334    8.38838 769.87   ] , [ 19.7222 9.36566 769.578979 ] [ 18.5916 8.41496 769.666016 ] [ 19.674601 7.93431 769.916992 ]
[ 24.2795    6.66496 767.243  ] , [ 24.0214 7.20569 767.906982 ] [ 24.3416 5.32041 767.429016 ] [ 24.865499 6.25382 766.909973 ]
[ 19.7373  11.7495 767.501 ] , [ 20.7043 12.1652 766.966003 ] [ 19.6308 11.8524 767.422974 ] [ 20.321301 11.1732 768.142029 ]
[ -5.39702  17.6572  767.152  ] , [ -5.93471 17.662701 768.445007 ] [ -5.01673 19.5103 766.526978 ] [ -5.4817 18.674601 767.439026 ]
[ -6.69421  20.1124  769.919  ] , [ -5.79992 19.533199 768.231995 ] [ -6.35812 22.113199 770.341003 ] [ -6.81352 19.7988 770.559021 ]
[  6.97194  20.8173  766.436  ] , [ 7.5209 21.545601 766.612976 ] [ 6.32791 21.634899 764.81897 ] [ 6.92455 19.6036 766.054993 ]
[-19.3117  35.9762 768.852 ] , [ -19.6049 35.854801 769.676025 ] [ -19.430599 36.947498 767.812012 ] [ -18.988001 35.948399 767.895996 ]
[-11.4068  43.3075 765.87  ] , [ -11.0833 43.837299 765.200012 ] [ -13.0403 44.4342 767.19397 ] [ -11.3605 43.034 766.286011 ]
[-13.9467  45.3016 768.218 ] , [ -14.2687 44.175301 769.76001 ] [ -13.0403 44.4342 767.19397 ] [ -14.3518 45.6581 768.482971 ]
[-31.8655  56.3335 766.271 ] , [ -32.0653 56.619999 766.705017 ] [ -30.600201 56.180099 765.338013 ] [ -31.1745 55.4678 767.333008 ]
[-34.6383  58.1507 766.883 ] , [ -34.593399 57.690601 766.125 ] [ -34.161999 57.247101 767.617004 ] [ -35.286499 56.922901 767.984985 ]
