Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[ 24.2726 -29.5168 795.602 ] , [ 23.6749 -28.896799 796.275024 ] [ 24.454399 -29.645399 795.888977 ] [ 24.8806 -28.669701 795.267029 ]
[ 15.6959 -22.0647 796.091 ] , [ 14.9666 -21.523199 795.211975 ] [ 16.212799 -21.8923 796.281982 ] [ 15.122 -21.892 794.125977 ]
[ -4.65615 -32.4817  797.236  ] , [ -3.71796 -31.480801 797.073975 ] [ -5.22309 -31.8172 796.687988 ] [ -4.87154 -32.6889 797.596985 ]
[ -3.26697 -36.0203  797.946  ] , [ -1.82033 -35.379601 798.356018 ] [ -3.35782 -35.3517 798.28302 ] [ -3.4981 -35.950298 797.676025 ]
[ 3.77179e-01 -3.43467e+01  7.98435e+02] , [ 3.44447 -34.334202 797.989014 ] [ -1.59374 -33.929001 798.625977 ] [ -0.345137 -34.7658 798.434998 ]
[ 16.1833 -37.304  795.793 ] , [ 17.655399 -38.019901 794.580994 ] [ 18.750099 -37.352901 795.486023 ] [ 15.7901 -37.100601 795.992004 ]
[  5.6363 -35.3291 797.263 ] , [ 6.70433 -35.9506 797.315979 ] [ 5.62414 -34.965199 797.68103 ] [ 5.19448 -35.879902 797.179016 ]
[ -1.02529 -31.6632  797.554  ] , [ -0.048298 -31.3717 797.244995 ] [ -1.33774 -31.2659 797.231995 ] [ -1.21191 -32.0597 797.838013 ]
[ -1.58694 -25.4542  796.755  ] , [ -0.462461 -25.7878 796.676025 ] [ -0.787423 -25.5371 798.223999 ] [ -1.14757 -24.724899 796.750977 ]
[ 13.6781 -20.6036 795.898 ] , [ 13.7888 -20.447201 795.632019 ] [ 12.7518 -19.7708 796.054016 ] [ 14.8555 -20.280701 796.64801 ]
[ -2.38541 -16.9041  797.423  ] , [ -2.15341 -16.713301 797.453003 ] [ -2.95127 -17.7463 797.143982 ] [ -2.11014 -17.4774 797.929016 ]
[  1.31529 -12.478   796.221  ] , [ 1.6201 -12.8508 796.112976 ] [ 1.12341 -11.5799 795.30603 ] [ 0.240458 -12.3459 795.924988 ]
[  4.77002 -13.1117  795.876  ] , [ 4.50882 -13.3101 796.252014 ] [ 5.26748 -12.5927 795.26001 ] [ 3.43466 -12.3491 794.919006 ]
[ 10.7497 -36.4544 796.775 ] , [ 12.2755 -35.589802 798.22998 ] [ 10.0019 -36.0457 797.492004 ] [ 10.2808 -37.479198 795.465027 ]
[  2.26118 -36.6113  796.211  ] , [ 3.46696 -37.394299 795.429993 ] [ 4.24742 -36.586201 796.546997 ] [ 1.66179 -36.785999 796.405029 ]
[ -1.23465 -37.7917  794.926  ] , [ -0.728748 -38.376499 794.026001 ] [ -1.48629 -37.0481 796.080017 ] [ -3.43022 -38.477299 793.877991 ]
[ -8.20596 -33.5141  796.002  ] , [ -9.77342 -34.8815 795.732971 ] [ -7.93485 -34.684898 796.700989 ] [ -8.17513 -32.868698 795.648987 ]
[ -2.90577 -21.977   795.873  ] , [ -3.301 -20.9443 795.91803 ] [ -3.05809 -22.2208 795.023987 ] [ -2.42287 -22.137699 796.116028 ]
[  8.09053 -14.2247  795.221  ] , [ 7.02239 -13.3112 795.257996 ] [ 7.90129 -14.1421 796.252014 ] [ 8.59729 -14.0955 794.671021 ]
[ -4.70483 -38.7793  793.454  ] , [ -4.20029 -39.164799 792.856018 ] [ -4.54415 -37.496601 795.460022 ] [ -7.17913 -38.425499 794.070007 ]
[  7.51549 -37.5769  795.058  ] , [ 8.79267 -37.847698 794.767029 ] [ 6.74464 -37.179798 795.732971 ] [ 7.68311 -37.965099 794.525024 ]
[  4.18035 -38.5074  793.456  ] , [ 5.15172 -37.9053 794.622986 ] [ 4.44653 -37.994598 794.554016 ] [ 3.91091 -39.043598 792.919983 ]
[ 24.6987 -34.9503 793.844 ] , [ 25.5755 -35.2766 792.315979 ] [ 25.961201 -34.478199 793.578979 ] [ 24.6043 -35.016499 793.914978 ]
[ 18.9794 -23.0027 795.637 ] , [ 19.4729 -23.1677 794.765991 ] [ 18.190701 -22.2889 795.439026 ] [ 19.3922 -23.621599 795.83197 ]
[ -1.88485 -13.4674  795.132  ] , [ -3.16789 -12.7602 793.88501 ] [ -2.23861 -14.0068 795.119995 ] [ -1.67632 -13.0942 795.500977 ]
[ 21.3756 -36.9019 793.353 ] , [ 22.364401 -35.8699 794.051025 ] [ 20.859699 -37.067501 794.598999 ] [ 21.446501 -37.775299 793.325012 ]
[-10.2925 -38.0229 795.037 ] , [ -11.4142 -37.276699 795.125 ] [ -10.2925 -37.933601 794.838013 ] [ -9.80314 -37.297501 795.539978 ]
[ -6.92953 -37.1021  796.683  ] , [ -7.33858 -36.841499 796.442993 ] [ -4.54415 -37.496601 795.460022 ] [ -5.26069 -36.452301 797.017029 ]
[-11.4752 -34.5379 794.441 ] , [ -11.4502 -33.916199 794.14502 ] [ -12.2166 -34.783901 794.22998 ] [ -10.0893 -34.0513 795.021973 ]
[ 26.6361 -31.532  792.702 ] , [ 27.377501 -32.378601 793.190979 ] [ 27.8531 -31.812 792.156006 ] [ 26.943001 -30.5308 792.929993 ]
[ -1.52336 -29.7521  795.39   ] , [ -0.945166 -30.2227 795.947021 ] [ -1.45049 -29.3132 794.538025 ] [ -2.268 -29.9289 795.471008 ]
[ 18.2295 -39.1458 792.766 ] , [ 17.101999 -39.229198 792.763 ] [ 19.8685 -38.997601 792.731018 ] [ 17.655399 -38.019901 794.580994 ]
[ -8.40046 -31.1035  793.632  ] , [ -8.87473 -32.1171 794.744995 ] [ -8.06091 -31.366699 794.593018 ] [ -8.58448 -30.5394 793.588013 ]
[ -5.02889 -30.0857  794.68   ] , [ -6.29863 -30.370899 794.609985 ] [ -4.30209 -29.927799 794.932983 ] [ -5.20381 -29.557501 793.651001 ]
[ 24.8849 -26.831  792.998 ] , [ 25.9772 -26.506201 792.987976 ] [ 24.8624 -25.7994 793.218018 ] [ 25.012899 -26.6241 794.015991 ]
[ -3.72027 -18.1438  794.8    ] , [ -4.52437 -17.9011 793.947998 ] [ -3.64354 -18.6313 794.382019 ] [ -3.274 -17.2162 795.807007 ]
[ 10.5173 -17.6011 792.928 ] , [ 10.1421 -16.2106 793.059998 ] [ 11.2456 -17.6113 793.284973 ] [ 10.6081 -16.742701 792.021973 ]
[ 15.0008 -22.1715 793.733 ] , [ 14.702 -22.1565 793.111023 ] [ 15.122 -21.892 794.125977 ] [ 15.2775 -22.57 792.638 ]
[ 12.1724 -20.9793 793.585 ] , [ 11.3249 -20.737499 792.677979 ] [ 11.3101 -19.9786 793.291992 ] [ 12.4269 -20.8864 793.405029 ]
[  8.25518 -11.6122  792.085  ] , [ 8.35836 -10.9127 790.856018 ] [ 7.50119 -11.5031 792.606995 ] [ 8.85177 -12.1529 792.530029 ]
[  5.02995 -10.1642  793.201  ] , [ 5.08414 -10.677 794.023987 ] [ 5.32189 -9.35603 791.666016 ] [ 4.45 -9.42652 792.18103 ]
[ 12.8564 -38.7179 794.29  ] , [ 10.6792 -38.553799 794.189026 ] [ 13.7642 -38.936501 793.849976 ] [ 12.2376 -38.187599 794.770996 ]
[  9.52604 -39.6163  792.459  ] , [ 10.749 -40.7575 790.870972 ] [ 11.545 -39.368599 792.939026 ] [ 8.97845 -39.644001 792.585999 ]
[ 21.996 -24.721 794.679] , [ 22.133301 -24.778299 794.64801 ] [ 21.567301 -24.254499 793.994995 ] [ 20.708799 -23.850201 795.296021 ]
[ -4.26282 -14.5656  793.38   ] , [ -3.71782 -14.3547 794.02002 ] [ -5.07406 -14.1985 792.427002 ] [ -4.62753 -15.5487 793.815002 ]
[ 14.9008 -40.5039 791.344 ] , [ 15.9485 -40.8866 790.961975 ] [ 15.6045 -40.0149 792.250977 ] [ 14.2676 -40.463799 791.278992 ]
[ 7.70912e-01 -3.96652e+01  7.92038e+02] , [ 2.73158 -39.9039 791.64502 ] [ 0.050738 -39.0616 792.927979 ] [ 0.270383 -40.090801 791.377014 ]
[-14.6588 -35.6335 792.751 ] , [ -14.8761 -35.347 792.463989 ] [ -14.2689 -36.858398 793.603027 ] [ -14.0586 -35.4552 793.215027 ]
[-16.6062 -40.3505 791.515 ] , [ -16.0987 -40.173 791.606995 ] [ -16.713499 -39.723499 791.671021 ] [ -17.000401 -40.355999 791.10498 ]
[-13.4095 -39.2898 793.245 ] , [ -13.8004 -38.819 793.434021 ] [ -12.6172 -39.570702 792.435974 ] [ -12.3661 -38.401402 794.153015 ]
[ -2.9216 -22.3585 792.542 ] , [ -3.19398 -21.594299 792.205994 ] [ -2.39294 -23.0509 792.273987 ] [ -2.91372 -22.5826 793.117004 ]
[ -5.62782 -19.314   792.757  ] , [ -5.81009 -19.1777 792.184021 ] [ -4.9011 -19.430401 792.210022 ] [ -6.26416 -18.076599 792.179993 ]
[ -2.62385 -40.6881  790.515  ] , [ -6.76109 -40.454201 790.921997 ] [ -1.1542 -41.1618 789.765991 ] [ -2.02058 -39.937302 791.643982 ]
[ 29.7212 -33.1906 790.374 ] , [ 29.8874 -32.458302 790.864014 ] [ 29.334299 -33.682598 790.138 ] [ 30.5933 -32.436699 789.859985 ]
[ -1.10019 -26.3989  793.815  ] , [ -0.772126 -26.715 793.721008 ] [ -1.20453 -26.042299 794.789001 ] [ -1.47268 -25.382401 793.341003 ]
[ 25.1204 -24.5926 790.252 ] , [ 25.7311 -24.431499 789.372986 ] [ 24.639 -24.4795 790.557007 ] [ 25.6478 -25.4408 790.698975 ]
[ -4.23338 -11.1653  791.322  ] , [ -4.46477 -11.8961 791.620972 ] [ -3.31013 -10.7819 791.39801 ] [ -4.57861 -10.6629 790.557007 ]
[ -1.4788 -10.2475 792.601 ] , [ -1.00989 -10.118 792.721008 ] [ -1.52903 -8.97976 791.281982 ] [ -1.90083 -11.2909 793.283997 ]
[  6.17917 -40.6627  790.853  ] , [ 5.29147 -40.406799 790.429016 ] [ 6.98952 -40.804798 790.922974 ] [ 5.5652 -40.0783 791.091003 ]
[ 23.306  -38.2367 790.088 ] , [ 22.846001 -37.487 790.682983 ] [ 22.918301 -38.316898 789.86499 ] [ 23.562099 -37.630001 789.921021 ]
[ 26.7689 -35.9877 790.522 ] , [ 26.848301 -35.668701 790.875977 ] [ 26.579 -36.450199 790.549988 ] [ 27.2099 -36.410599 789.478027 ]
[-11.6217 -31.9254 792.333 ] , [ -11.0149 -31.586599 792.622986 ] [ -13.0925 -31.935301 791.515991 ] [ -13.6125 -32.736698 791.867004 ]
[ 21.6765 -23.853  791.652 ] , [ 21.935499 -23.757999 792.036011 ] [ 21.804701 -23.761 790.590027 ] [ 20.803499 -23.801201 791.815979 ]
[ 18.1071 -23.2439 792.932 ] , [ 18.046 -23.2348 792.374023 ] [ 18.3435 -22.8468 793.286987 ] [ 20.225599 -23.6243 794.007019 ]
[ -6.08102 -23.9556  789.948  ] , [ -7.53813 -24.5452 789.411987 ] [ -5.52256 -24.697901 789.880005 ] [ -6.0721 -23.560801 790.262024 ]
[-14.1872 -42.1275 788.571 ] , [ -11.823 -41.3895 789.627991 ] [ -16.243099 -41.772099 789.200989 ] [ -12.8589 -42.776699 787.547974 ]
[-11.1834 -40.9785 790.245 ] , [ -11.823 -41.3895 789.627991 ] [ -9.64528 -40.4963 790.948975 ] [ -10.4866 -39.881401 791.940979 ]
[ 13.9235 -23.1232 792.553 ] , [ 13.73 -22.5462 792.072998 ] [ 14.702 -22.1565 793.111023 ] [ 15.2775 -22.57 792.638 ]
